onset,duration,weight,trial_type
3.10,3.50,1,cue-first
8.21,4.27,1,task-first
17.28,3.50,1,cue-hard_hard
22.36,3.96,1,task-hard_hard
31.43,3.50,1,cue-hard_hard
36.51,1.88,1,task-hard_hard
45.58,3.50,1,cue-hard_easy
50.66,2.25,1,task-hard_easy
59.73,3.50,1,cue-easy_hard
64.81,4.45,1,task-easy_hard
73.88,3.50,1,cue-hard_hard
78.96,2.18,1,task-hard_hard
88.03,3.50,1,cue-hard_easy
93.11,0.80,1,task-hard_easy
102.18,3.50,1,cue-easy_hard
107.26,2.41,1,task-easy_hard
116.33,3.50,1,cue-hard_easy
121.40,3.41,1,task-hard_easy
130.46,3.50,1,cue-easy_easy
135.55,1.69,1,task-easy_easy
144.62,3.50,1,cue-easy_easy
149.68,1.40,1,task-easy_easy
158.75,3.50,1,cue-easy_easy
163.83,3.67,1,task-easy_easy
172.90,3.50,1,cue-easy_easy
177.98,3.92,1,error
187.05,3.50,1,cue-easy_easy
192.12,0.82,1,task-easy_easy
201.18,3.50,1,cue-easy_hard
206.27,5.60,1,task-easy_hard
215.33,3.50,1,cue-hard_easy
220.42,1.36,1,task-hard_easy
229.48,3.50,1,cue-easy_hard
234.57,4.22,1,task-easy_hard
243.63,3.50,1,cue-hard_hard
248.72,3.07,1,task-hard_hard
257.78,3.50,1,cue-hard_hard
262.87,4.22,1,error
271.93,3.50,1,cue-hard_hard
277.03,4.64,1,error
286.12,3.50,1,cue-hard_easy
291.20,3.07,1,task-hard_easy
300.29,3.50,1,cue-easy_hard
305.39,3.61,1,task-easy_hard
314.45,3.50,1,cue-hard_easy
319.55,1.44,1,task-hard_easy
328.64,3.50,1,cue-easy_easy
333.74,1.26,1,task-easy_easy
342.80,3.50,1,cue-easy_easy
347.90,0.90,1,task-easy_easy
356.97,3.50,1,cue-easy_easy
362.05,3.47,1,task-easy_easy
371.14,3.50,1,cue-easy_hard
376.22,3.36,1,task-easy_hard
385.30,3.50,1,cue-hard_easy
390.39,0.91,1,task-hard_easy
399.47,3.50,1,cue-easy_hard
404.55,3.91,1,task-easy_hard
413.64,3.50,1,cue-hard_easy
418.72,4.22,1,error
427.80,3.50,1,cue-easy_hard
432.90,2.15,1,task-easy_hard
441.99,3.50,1,cue-hard_hard
447.07,1.71,1,task-hard_hard
456.16,3.50,1,cue-hard_hard
461.24,3.86,1,task-hard_hard
470.32,3.50,1,cue-hard_easy
475.41,0.82,1,task-hard_easy
484.49,3.50,1,cue-easy_easy
489.57,1.32,1,task-easy_easy
498.66,3.50,1,cue-easy_hard
503.76,3.95,1,error
512.84,3.50,1,cue-hard_hard
517.92,4.61,1,error
